Flash Appeal,,,,,,,,,,Update,,,,,,,,,,Funding,,,,,,,,,,,,,
Total Population(Flash Appeal),People Affected(Flash Appeal),People Affected - IDPs,People in Need(Flash Appeal),PiN - IDPs,People Targeted(Flash Appeal),People Targeted - IDPs,Requirements (US$)(Flash Appeal),Projection Time Frame (Flash Appeal),Flash Appeal URL,Refugees(UNHCR),IDPs,Civilian casualities(OHCHR) - Killed,Civilian casualities(OHCHR) - Injured,Attacks on Education Facilities,Attacks on Health Care,Number of Organisations,Number of People Reached,Date,Source URL,Ukraine Flash Appeal 2022 - Required (US$m),Ukraine Flash Appeal 2022 - Funded (US$m),Ukraine Flash Appeal 2022 - % coverage,Ukraine Humanitarian Response Plan 2022 - Required (US$m),Ukraine Humanitarian Response Plan 2022 - Funded (US$m),Ukraine Humanitarian Response Plan 2022 - % coverage,Ukraine Regional Refugee Response Plan 2022 - Required (US$m),Ukraine Regional Refugee Response Plan 2022 - Funded (US$m),Ukraine Regional Refugee Response Plan 2022 - % coverage,CERF - Contributions (US$m) ,CERF - Allocations (US$m) ,Ukraine Humanitarian Fund - Contributions (US$m),Ukraine Humanitarian Fund - Allocations (US$m),FTS URL
,,,,,,,,,,2700000,N/A,596,1067,N/A,N/A,,,3/13/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-13_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf,,,,,,,,,,,,,,
,,,,,,,,,,2800000,1900000,636,1125,N/A,N/A,,,3/14/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-14_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf,,,,,,,,,,,,,,
,,,,,,,,,,3000000,1900000,691,1143,N/A,N/A,,,3/15/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-15_Ukraine%20Humanitarian%20Impact%20SitRep.pdf,,,,,,,,,,,,,,
,,,,,,,,,,3100000,1900000,780,1252,N/A,N/A,,,3/16/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-16_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf,,,,,,,,,,,,,,
,,,,,,,,,,3200000,1900000,816,1333,N/A,N/A,,,3/17/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-17_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf,,,,,,,,,,,,,,
,,,,,,,,,,3400000,6500000,902,1459,N/A,N/A,,,3/20/2022,https://ukraine.un.org/sites/default/files/2022-03/Ukraine%20-%20civilian%20casualty%20update%20as%20of%2024.00%2019%20March%202022%20ENG.pdf,,,,,,,,,,,,,,
,,,,,,,,,,3400000,6500000,925,1496,518,N/A,,,3/21/2022,https://www.ohchr.org/en/press-releases/2022/03/ukraine-civilian-casualty-update-21-march-2022,,,,,,,,,,,,,,
,,,,,,,,,,3500000,6500000,953,1557,,N/A,,,3/22/2022,https://www.ohchr.org/en/press-releases/2022/03/ukraine-civilian-casualty-update-22-march-2022,,,,,,,,,,,,,,
,,,,,,,,,,3600000,6500000,977,1594,548,64,,,3/23/2022,https://extranet.who.int/ssa/LeftMenu/Index.aspx; https://saveschools.in.ua/en/; https://www.ohchr.org/en/press-releases/2022/03/ukraine-civilian-casualty-update-23-march-2022,,,,,,,,,,,,,,
,,,,,,,,,,3600000,6500000,1035,1650,,72,113,894261,3/24/2022,https://www.ohchr.org/en/statements/2022/03/situation-ukraine,,,,,,,,,,,,,,
,,,,,,,,,,3700000,6500000,1081,1707,,,,,3/25/2022,,,,,,,,,,,,,,,
,,,,,,,,,,3700000,6500000,1081,1707,570,72,,,3/26/2022,https://extranet.who.int/ssa/LeftMenu/Index.aspx; https://saveschools.in.ua/en/; https://www.ohchr.org/en/press-releases/2022/03/ukraine-civilian-casualty-update-25-march-2022,,,,,,,,,,,,,,
,,,,,,,,,,3700000,6500000,1119,1790,,,,,3/27/2022,https://www.ohchr.org/en/news/2022/03/ukraine-civilian-casualty-update-27-march-2022,,,,,,,,,,,,,,
,,,,,,,,,,3900000,6500000,1151,1824,,,,,3/28/2022,https://www.ohchr.org/en/news/2022/03/ukraine-civilian-casualty-update-28-march-2022,,,,,,,,,,,,,,
,,,,,,,,,,3900000,6500000,1179,1860,733,74,,,3/29/2022,https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-28-march-2022; https://www.ohchr.org/en/news/2022/03/ukraine-civilian-casualty-update-29-march-2022,,,,,,,,,,,,,,
,,,,,,,,,,4000000,6500000,1189,1901,773,82,,,3/30/2022,https://www.ohchr.org/en/news/2022/03/ukraine-civilian-casualty-update-30-march-2022,,,,,,,,,,,,,,
,,,,,,,,,,4100000,6500000,1232,1935,,,159,1400204,3/31/2022,https://www.ohchr.org/en/press-releases/2022/03/ukraine-civilian-casualty-update-31-march-2022,,,,,,,,,,,,,,
,,,,,,,,,,4100000,6500000,1276,1981,,,,,4/1/2022,https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-1-april-2022,,,,,,,,,,,,,,
,,,,,,,,,,4100000,6500000,1325,2017,,,,,4/2/2022,https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-2-april-2022,,,,,,,,,,,,,,
