,text
75504, ukraine  russia  ww   stm  truth russia entering ukraine  destroyed multiple bases  army depots  amp  airport     via  
76051, u  did nothing  stop   nato provoking the situation as they expanded towards the  russia borders last  yrs  how all  nato member states r washing their hands of  complicity  in this  ukrainerussiaconflict  like glue  it doesn t wash off  history will reveal  usa  amp  nato   agenda 
76151,this quote is so true about all human beings  we think we learn something  but in the end it turns out that we keep repeating the same mistakes again and again    putin   china   ukraine  wwiii           russiaukraineconflict 
76485, u  did nothing  stop   nato provoking the situation as they expanded towards the  russia borders last  yrs  how all  nato member states r washing their hands of  complicity  in this  ukrainerussiaconflict  like glue  it doesn t wash off  history will reveal  usa  amp  nato   agenda 
76911,  live at        cet    press briefing after extraordinary meeting of the north atlantic council on  russia s unprovoked and unjustified attack on  ukraine      hq  brussels 
76977, russiaukraineconflict  ukraine  russiaukraine  russia  interesting   how  imrankhan  imrankhaninrussia going to see  putin now   pakistaninrussia   shameful
78081,i ll be on  thefrontpage  with  at the bottom of the hour to discuss todays news which is mostly centred around the  russiaukraineconflict   pour yourself a stiff vodka on the rocks  you ll need it     auspol  geopolitics 
78139,lived through aftermath ww  conflicts in palestine hungary malaya korea kenya cyprus vietnam suez aden indonesia ireland congo falkland s gulf sierra leon bosnia kosovo afghanistan iraq libya syria yemen sure more wasn t aware of humans don t learn  ukraine
79444,for those covering  russiaukraine please  please remember to always reverse image search before you post    there is images floating around from     aplenty  when in reality right now footage from either side of the contact line is rather sparse 
79506,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
81845,russian ka   helicopter shot near hostomel   via   ukraine
82267,putin s launched an unprovoked  full scale invasion of ukraine  there ll be many deaths  suffering  amp  bloodshed  i m so sorry to all in ukraine   istandwithukraine  wwiii
